Name,Title,Email
Charles O. Anderson,"Professor, Chair",/people/anderson.4357
Harmony Bench,Associate Professor,/people/bench.9
Tanya Calamoneri,Assistant Professor,/people/Calamoneri.1
Alfonso Cervera,Assistant Professor,/people/cervera.4
Irvin Manuel  Gonzalez,Assistant Professor,/people/gonzalez.1119
Hannah Kosstrin,Associate Professor,/people/kosstrin.1
Nyama McCarthy-Brown,"Associate Professor, Artist Laureate",/people/mccarthy-brown.1
Kym  McDaniel,Assistant Professor,/people/mcdaniel.612
Momar Ndiaye,Assistant Professor,/people/ndiaye.55
Crystal Michelle Perkins,Associate Professor,/people/perkins.642
Daniel Roberts,Associate Professor,/people/roberts.338
Edward Taketa,Assistant Professor of Practice,/people/taketa.1
Valarie Williams,Professor,/people/williams.1415
Abby Zbikowski,Associate Professor,/people/zbikowski.1
Norah Zuniga Shaw,Professor,/people/zuniga-shaw.1
Melanie Bales,Emerita Professor,/people/bales.1
Karen Bell,"Emerita Dean, College of the Arts/Professor",/people/bell.1
Odette Blum,Emerita Professor,/people/blum.1
Michael Kelly Bruce,Emeritus Associate Professor,/people/bruce.8
David Covey,Emeritus Professor,/people/covey.1
Melanye White Dixon,Emerita Associate Professor,/people/dixon.199
Karen Eliot,Emerita Professor,/people/eliot.4
