Name,Title,Email
Eloise Kaizar,"Professor of Statistics, Department Chair",No email found
Steephanson Anthonymuthu,Assistant Professor of Teaching Practice,No email found
Dena Asta,Associate Professor of Statistics,No email found
Arnab Auddy,Assistant Professor,No email found
Jonathan Baker,Associate Professor of Teaching Practice & Director of the AMGEN STEM Gateway Learning Center,No email found
Xiaoxuan Cai,Assistant Professor,No email found
Oksana Chkrebtii,Associate Professor of Statistics,No email found
Michelle Everson,Professor of Teaching Practice,No email found
Chris Hans,"Associate Professor of Statistics, Vice Chair for Undergraduate Studies and Administration",No email found
Radu Herbei,Professor of Statistics,No email found
Kate Hu,Assistant Professor,No email found
Laura Kubatko,"Professor of Statistics and Evolution, Ecology and Organismal Biology",No email found
Sebastian Kurtek,Professor of Statistics,No email found
Yoonkyung Lee,Professor of Statistics and Computer Science Engineering,No email found
Shili Lin,Professor of Statistics,No email found
Steve MacEachern,College of Arts and Sciences Distinguished Professor of Statistics,No email found
Isa Marques,Assistant Professor,No email found
Thomas Metzger,"Assistant Professor of Teaching Practice, Director of Undergraduate Programs",No email found
Jillian Morrison,Assistant Professor of Teaching Practice,No email found
Omer Ozturk,Professor of Statistics,No email found
Sally Paganin,Assistant Professor of Statistics,No email found
Subhadeep Paul,Associate Professor of Statistics,No email found
Mario Peruggia,Professor of Statistics,No email found
Andrew Richards,Assistant Professor of Teaching Practice,No email found
