Name,Title,Email
No name found,"Professor of Statistics, Department Chair",No email found
No name found,Assistant Professor of Teaching Practice,No email found
No name found,Associate Professor of Statistics,No email found
No name found,Assistant Professor,No email found
No name found,Associate Professor of Teaching Practice & Director of the AMGEN STEM Gateway Learning Center,No email found
No name found,Assistant Professor,No email found
No name found,Associate Professor of Statistics,No email found
No name found,Professor of Teaching Practice,No email found
No name found,"Associate Professor of Statistics, Vice Chair for Undergraduate Studies and Administration",No email found
No name found,Professor of Statistics,No email found
No name found,Assistant Professor,No email found
No name found,"Professor of Statistics and Evolution, Ecology and Organismal Biology",No email found
No name found,Professor of Statistics,No email found
No name found,Professor of Statistics and Computer Science Engineering,No email found
No name found,Professor of Statistics,No email found
No name found,College of Arts and Sciences Distinguished Professor of Statistics,No email found
No name found,Assistant Professor,No email found
No name found,"Assistant Professor of Teaching Practice, Director of Undergraduate Programs",No email found
No name found,Assistant Professor of Teaching Practice,No email found
No name found,Professor of Statistics,No email found
No name found,Assistant Professor of Statistics,No email found
No name found,Associate Professor of Statistics,No email found
No name found,Professor of Statistics,No email found
No name found,Assistant Professor of Teaching Practice,No email found
